id_74,mother height,father height,gender
7401373,165,175,2
7401374,159,173,2
7401375,165,193,2
7401378,172,180,2
7401379,162,184,2
7401383,178,189,2
7401388,174,185,2
7401389,171,185,2
7401391,165,180,2
7401393,169,,2
7401400,163,176,2
7401401,,,2
7401407,160,180,2
7401413,162,175,2
7401416,168,192,2
7401418,170,185,2
7401419,165,177.5,2
7401423,169,183,2
7401431,174,197,2
7401433,160,186,2
7401442,,,2
7401448,157,178,2
7401449,155,189,2
7401450,170,183,2
7401452,165,189,2
7401455,169,180,2
7401461,150,176,2
7401466,172.5,183,2
7401467,165,175,2
7401469,165,180,2
7401471,156,176,2
7401478,155,175,2
7401480,173,186,2
7401491,160,180,2
7401492,170,177,2
7401495,174,186,2
7401497,165,185,2
7401501,,,2
7401507,179,187,2
7401510,168,185,2
7401512,163,175,2
7401515,165,173,2
7401518,160,180,2
7401519,160,179,2
7401521,178,176,2
7401522,170,180,2
7401530,158,176,2
7401531,170,185,2
7401532,179,185,2
7401537,175,183,2
7401540,,,2
7401551,177,186,2
7401553,173,178,2
7401556,167,186,2
7401560,163,180,2
7401565,155,175,2
7401566,167,182,2
7401567,155,188,2
7401568,175,,2
7401571,162,165,2
7401574,168,185,2
7401577,164,174,2
7401582,,,2
7401588,160,175,2
7401589,174,181,2
7401602,166,190,2
7401603,156,168,2
7401607,165,187,2
7401608,180,173,2
7401609,171,182,2
7401610,159,176,2
7401612,,,2
7401614,174,189,2
7401621,,,2
7401625,163,192,2
7401627,170,185,2
7401628,159,177,2
7401630,175,185,2
7401632,165,,2
7401645,,,2
7401649,179.5,187,2
7401651,169,185,2
7401654,,,2
7401656,,,2
7401660,170,185,2
7401668,160,175,2
7401670,178,183,2
7401671,169,193,2
7401672,169.5,184,2
7401679,165,172,2
7401680,158,175,2
7401690,174,185,2
7401691,165,170,2
7401693,,,2
7401694,161.5,184,2
7401696,158,180,2
7401701,157,183,2
7401702,172,189,2
7401705,172,184,2
7401709,160,170,2
7401712,158,170,2
7401715,155,180,2
7401718,162,182,2
7401721,167,189,2
7401730,165,178,2
7401731,162,186,2
7401738,164,178,2
7401743,167,176,2
7401746,155,175,2
7401752,,,2
7401754,178,175,2
7401760,163,174,2
7401761,158,186,2
7401764,,,2
7401765,,,2
7401770,175,195,2
7401771,,,2
7401779,160,189,2
7401781,158,178,2
7401785,156,183,2
7401787,165,189,2
7401792,171,174,2
7401795,163,173,2
7401796,165,180,2
7401798,167,177,2
7401802,163,183,2
7401808,,,2
7401809,164,180,2
7401810,168,183,2
7401812,163,172,2
7401814,,,2
7401816,164,182,2
7401818,152,173,2
7401819,175,177,2
7401823,174,190,2
7401824,,,2
7401825,165,176,2
7401829,165,172,2
7401832,160,175,2
7401833,162,180,2
7401835,150,163,2
7401841,169,179,2
7401844,170,183,2
7401845,,,2
7401846,161,190,2
7401848,168,182,2
7401849,174,184,2
7401857,163,186,2
7401858,169,,2
7401863,165,174,2
7401874,160,171,2
7401882,169,175,2
7401885,,,2
7401886,156,174,2
7401887,163,180,2
7401890,,,2
7401894,161,179,2
7401898,165,,2
7401905,161,189,2
7401907,167,181,2
7401910,,,2
7401915,176,184,2
7401919,157,170,2
7401927,165,184,2
7401929,168,180,2
7401931,173,173,2
7401934,169,189,2
7401937,163,185,2
7401938,170,184,2
7401945,168,172,2
7401948,175,189,2
7401949,162,182,2
7401950,,,2
7401951,,,2
